fips,Current Price (2021/4/30)
47131,99310
34029,358479
20139,125488
29151,183420
40113,118116
8089,103148
35035,143457
8091,508395
29153,153035
18121,126023
12101,231359
40119,159310
13225,146620
48371,136344
55091,151094
5105,94371
17145,73660
18123,123957
21193,73199
29157,157762
28111,106274
39127,116140
42099,199658
47135,104683
17147,150699
4021,296941
18129,169495
16077,216624
20151,83485
55099,117778
13241,245907
48379,171648
29173,144234
20161,202044
47145,181798
54087,90430
8107,671741
21205,123984
37159,177462
34033,175330
51775,189870
31153,260316
5127,85732
19163,176249
18143,124338
21209,225824
27139,375404
29201,111463
28123,81978
47151,101905
51169,90749
5135,82553
19167,192932
20183,61848
28129,97145
47159,156780
48423,195692
51173,96022
46115,103742
17175,74973
38089,266844
39151,160348
48427,72103
5137,116527
29209,193925
28131,121932
19169,216044
37171,141015
51181,182412
37173,188983
27151,116076
29213,170246
48445,73725
16081,431856
30099,224311
56039,1016401
29215,130601
40139,105645
36107,145898
42117,163567
48449,135645
30101,101660
13281,239325
21221,144752
13285,133187
40143,171668
48457,112107
54095,73560
56041,216048
5139,83654
12125,153187
13291,237301
19175,93007
17181,97762
18161,141826
21225,81935
22111,108625
28145,120090
37179,328339
34039,448632
35059,61720
39159,292632
41061,214069
42119,196675
45087,62161
46127,261620
47173,159379
13293,91445
37181,93502
55125,223814
23027,218495
38099,92021
41065,274222
13305,127546
19185,79697
17191,88845
18177,107791
21231,88230
26163,134198
29223,91727
28153,115902
37191,148873
31179,163702
36117,153991
39169,192540
42127,195107
47181,109428
54099,90127
49057,363521
18179,157821
5145,131952
13311,202473
17193,76696
18181,147788
47185,143105
40151,80137
13321,118102
19195,114624
51197,137995
36123,177980
28163,69907
48503,104942
22001,126426
27001,204518
36001,254376
56001,265681
26001,123684
28003,107684
26007,109700
6003,436910
6005,353482
51007,207906
29003,176938
26009,201268
4001,201278
48009,145876
26011,95926
5003,63469
53003,247242
39009,151692
28007,82052
48015,262894
48017,84988
26013,122857
38003,122987
21009,135651
55005,182645
13013,231488
20009,83473
29011,103244
13015,218733
5005,148217
48023,83625
40007,108603
42007,158884
27005,252129
38005,82335
5007,248250
19011,160894
18007,104951
27009,222629
29015,118236
28009,87869
41003,412041
47005,108400
53005,354305
26019,223175
34003,554378
37015,87438
37017,99080
16013,639152
40011,62605
48031,369587
1009,249668
47009,245280
16017,408197
48035,133361
26023,131667
48041,234432
19017,174644
54009,91020
13027,125325
48047,72316
36007,133910
17011,96312
48053,288594
1013,77957
19023,132178
20015,164782
21031,110635
29023,117425
31023,144662
39017,220567
42019,285768
54011,108946
13039,196334
29029,278785
37029,263977
34007,226720
47015,168330
16027,349320
30009,344724
42025,175125
49007,167491
56007,185405
48065,111512
21043,76967
40019,98715
47019,136959
27019,391754
16031,220014
48069,118320
36011,147198
42027,269243
35005,116974
53007,416483
5017,46665
37041,151110
35006,103435
12017,198341
1025,104531
13059,222361
19039,114425
51043,392109
13065,81844
1031,136988
13069,115415
47031,175759
20031,115171
31037,131354
35007,153201
48085,394027
6011,260131
5029,96973
29053,151621
28029,81499
40033,73215
13077,266953
20035,87011
37049,178223
48107,55391
31039,165498
8027,272369
16037,234576
30017,194648
31041,96513
40039,122566
46033,259653
27037,342714
31043,161418
48111,77091
1047,59881
5039,44996
19049,273563
29059,136287
48113,248850
13085,294112
30021,174481
31047,126461
48115,80301
28033,225374
13089,267411
29063,165277
47041,160474
48121,355017
8031,518990
17039,101741
38021,99146
45033,94729
48127,104796
48129,88383
18037,180038
37061,100070
37063,296450
13101,103095
8039,588187
13105,98149
1051,189487
16039,222840
38029,75137
21065,71852
1055,120854
32011,167838
13111,272601
48147,145466
30027,225777
20055,182584
48151,87061
42053,90591
55041,146459
6019,316001
5049,118794
13121,343085
17057,76016
18049,123081
21075,44851
36035,135709
39051,164239
42057,136859
48165,169057
39053,117845
40049,77346
37071,210383
39055,267853
1061,91604
29075,98409
28039,132927
18051,132285
47053,95003
13123,279812
54021,67847
8047,409759
12043,145008
48175,221069
13129,155990
56015,182570
4009,199796
37075,153614
21083,100490
1063,82565
5055,120501
13133,377776
19073,95791
17061,74203
18055,119183
29077,179316
28041,123545
37079,112218
36039,243959
39057,213754
42059,135524
47059,139433
51079,255279
48185,169783
19075,154276
17063,209972
29079,78132
47061,106338
46057,155379
46061,137909
12049,130129
19083,95875
21093,179637
39065,120863
47071,128178
48199,185320
21095,43273
40057,35571
41025,119712
20077,60416
40059,70733
13145,260493
48201,223838
20079,135202
15001,429134
12051,148031
12059,114079
28051,46469
39075,234270
5061,83082
19089,114322
18067,132949
24027,506597
29089,137802
31093,191141
48227,134036
29091,133080
34017,517573
40063,71409
46065,223862
22045,113731
26065,166502
27059,245515
53029,516876
27061,181641
13159,165773
19099,136670
17079,77886
18073,192044
29097,143290
28061,90863
45053,190203
48241,123045
16053,263577
17083,120495
2110,413018
55057,134241
48255,144631
20093,145634
21117,199531
19107,87921
48267,104920
48271,78313
53035,478935
4012,216131
32015,202416
13173,129221
26087,214062
6035,191328
21125,125382
48285,187285
42077,247315
37107,98370
21131,39975
5085,151930
39093,179325
47105,270175
19115,111895
51109,244555
26099,215074
6039,322093
29125,165085
1093,90556
5089,130631
12083,185195
13197,112352
19125,170159
18097,180894
20115,89092
21155,122296
29127,123903
28091,102911
39101,111356
41047,344995
45067,75379
47115,144974
48315,130320
54049,115473
12085,337598
18101,114839
27091,128236
37117,85898
48317,224530
17127,72941
46087,146991
42083,69884
17113,169769
21149,93518
38055,170347
27085,213893
47107,149334
39103,253654
48325,238481
27093,177056
17129,160763
6047,332563
17131,102813
21167,145217
29129,74550
38057,155791
34021,290451
39107,176952
42085,141238
54055,77112
5091,109516
13201,111327
29131,147111
1097,145252
8081,212914
4015,293927
19133,91555
1099,81317
5095,55290
12087,671697
